Rank,Team,W,L,Rating,Link
1,St. Paul's SG (MD),17,1,99.9,
2,Victor (NY),21,1,99.37,
3,Glenelg Country School (MD),17,2,99.23,
4,Darien (CT),20,1,98.39,
5,McDonogh School (MD),16,3,98.24,
6,New Canaan (CT),20,2,97.92,
7,Baldwinsville (NY),18,2,97.37,
8,Bayport Blue Point (NY),16,3,97.08,
9,Manhasset (NY),15,3,96.38,
10,Archbishop Spalding (MD),13,4,95.96,
11,Wilton (CT),17,5,95.87,
12,Archbishop Carroll (PA),26,0,95.86,
13,Bryn Mawr (MD),14,5,95.82,
14,Bronxville (NY),21,1,95.72,
15,Rush Henrietta (NY),16,4,95.53,
16,Westwood (MA),25,0,95.43,
17,Canandaigua Academy (NY),15,4,95.24,
18,Wantagh (NY),15,3,95.03,
19,Glenelg (MD),15,1,94.99,
20,Conestoga (PA),24,1,94.92,
21,South Jefferson (NY),17,2,94.9,
22,Guilford (CT),20,1,94.69,
23,American Heritage (FL),19,3,94.63,
24,Northport (NY),20,2,94.62,
25,Notre Dame - Hingham (MA),20,4,94.59,
26,Notre Dame Prep (MD),10,9,94.47,
27,Maryvale Prep (MD),14,6,94.41,
28,Sayville (NY),14,3,94.35,
29,Pittsford (NY),13,5,94.34,
30,Stone Ridge CDS (MD),13,7,94.34,
31,Owen J. Roberts (PA),23,3,94.19,
32,Sts. Stephen's & Agnes (VA),20,5,94.15,
33,Cicero North Syracuse (NY),4,5,94.11,
34,St. Anthony's (NY),14,4,94.08,
35,Bishop Guertin (NH),17,1,94.02,
36,Good Counsel (MD),17,4,93.94,
37,"Northeast, PA (PA)",4,1,93.82,
38,Garnet Valley (PA),16,8,93.75,
39,Ward Melville (NY),11,2,93.51,
40,Garden City (NY),8,4,93.45,
41,Queensbury (NY),18,1,93.42,
42,Noble & Greenough (MA ),17,0,93.4,
43,Sacred Heart Greenwich (CT),9,0,93.4,
44,Rocky Point (NY),12,6,93.39,
45,William Penn Charter (PA),20,5,93.38,
46,Mt. Sinai (NY),10,7,93.33,
47,Brighton (NY),2,5,93.33,
48,Bedford (NH),16,2,93.23,
49,Georgetown Visitation (DC),16,6,93.2,
50,"Central HS, PA (PA)",9,2,93.12,
